# gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false "gmm-boost-silence --boost=1.0 1 exp/mono/9.mdl - |" "ark:gunzip -c exp/mono/fsts.2.gz|" "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split4/2/utt2spk scp:data/train/split4/2/cmvn.scp scp:data/train/split4/2/feats.scp ark:- | add-deltas  ark:- ark:- |" "ark,t:|gzip -c >exp/mono/ali.2.gz" 
# Started at Mon Feb 25 10:32:36 CST 2019
#
gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false 'gmm-boost-silence --boost=1.0 1 exp/mono/9.mdl - |' 'ark:gunzip -c exp/mono/fsts.2.gz|' 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split4/2/utt2spk scp:data/train/split4/2/cmvn.scp scp:data/train/split4/2/feats.scp ark:- | add-deltas  ark:- ark:- |' 'ark,t:|gzip -c >exp/mono/ali.2.gz' 
gmm-boost-silence --boost=1.0 1 exp/mono/9.mdl - 
LOG (gmm-boost-silence[5.5]:main():gmm-boost-silence.cc:93) Boosted weights for 5 pdfs, by factor of 1
LOG (gmm-boost-silence[5.5]:main():gmm-boost-silence.cc:103) Wrote model to -
add-deltas ark:- ark:- 
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-033
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-034
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-035
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-036
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-037
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-038
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-039
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-040
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-041
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-042
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-043
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-044
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-045
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-046
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-047
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-048
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-049
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-050
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-051
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-052
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-053
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-054
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-055
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-056
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-057
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-058
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-059
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-060
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-061
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-062
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-063
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-064
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-065
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-066
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-067
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-068
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-069
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-070
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-071
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-001
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-002
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-003
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-004
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-005
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-006
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-007
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-008
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-009
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-010
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-011
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-012
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-013
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-014
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-015
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-016
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-017
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-018
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-019
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-020
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-021
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-022
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-023
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-024
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-025
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-026
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-027
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-028
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-029
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-030
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-031
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-032
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-033
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-034
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-035
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-036
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-037
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-038
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-039
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-040
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-041
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-042
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-043
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-044
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-045
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-046
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-047
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-048
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-049
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-050
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-051
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-052
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-053
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-054
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-055
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-056
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-057
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-058
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-059
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-060
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-061
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-062
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-063
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-064
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-065
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-066
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-067
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-068
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-069
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-070
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 06-071
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-001
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-002
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-003
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-004
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-005
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-006
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-007
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-008
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-009
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-010
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-011
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-012
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-013
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-014
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-015
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-016
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-017
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-018
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-019
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-020
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-021
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-022
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-023
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-024
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-025
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-026
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-027
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-028
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-029
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-030
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-031
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-032
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-033
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-034
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-035
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-036
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-037
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-038
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-039
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-040
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-041
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-042
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-043
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-044
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-045
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-046
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-047
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-048
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-049
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-050
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-051
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-052
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-053
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-054
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-055
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-056
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-057
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-058
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-059
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-060
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-061
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-062
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-063
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-064
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-065
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-066
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-067
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-068
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-069
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-070
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 07-071
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-001
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-002
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-003
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-004
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-005
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-006
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-007
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-008
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-009
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-010
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-011
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-012
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-013
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-014
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-015
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-016
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-017
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-018
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-019
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-020
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-021
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-022
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-023
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-024
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-025
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-026
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-027
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-028
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-029
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-030
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-031
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-032
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-033
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-034
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-035
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-036
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-037
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-038
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-039
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-040
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-041
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-042
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-043
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-044
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-045
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-046
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-047
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-048
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-049
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-050
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-051
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-052
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-053
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-054
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-055
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-056
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-057
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-058
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-059
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-060
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-061
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-062
LOG (apply-cmvn[5.5]:main():apply-cmvn.cc:162) Applied cepstral mean normalization to 284 utterances, errors on 0
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-063
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-064
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-065
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-066
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-067
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-068
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-069
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-070
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 08-071
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:135) Overall log-likelihood per frame is -97.5208 over 56770 frames.
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:137) Retried 0 out of 284 utterances.
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:139) Done 284, errors on 0
# Accounting: time=1 threads=1
# Ended (code 0) at Mon Feb 25 10:32:37 CST 2019, elapsed time 1 seconds
